Date,Open,High,Low,Close,Adj Close,Volume
2016-04-26,32.000000,32.400002,32.000000,32.200001,32.200001,4100
2016-04-27,32.500000,34.209999,32.070000,32.930000,32.930000,6000
2016-04-28,32.770000,32.770000,32.139999,32.349998,32.349998,5700
2016-04-29,31.580000,31.850000,31.480000,31.750000,31.750000,9600
2016-05-02,31.230000,31.540001,31.230000,31.320000,31.320000,3900
2016-05-03,31.200001,31.280001,30.770000,31.100000,31.100000,7600
2016-05-04,30.549999,31.000000,30.549999,30.750000,30.750000,17500
2016-05-05,30.700001,31.120001,30.700001,30.850000,30.850000,6700
2016-05-06,30.450001,30.450001,30.400000,30.450001,30.450001,2100
2016-05-09,30.209999,30.250000,29.900000,29.900000,29.900000,8600
2016-05-10,30.270000,30.850000,30.270000,30.799999,30.799999,7700
2016-05-11,30.830000,31.120001,30.549999,30.920000,30.920000,2300
2016-05-12,30.980000,31.030001,30.660000,30.980000,30.980000,3700
2016-05-13,29.900000,29.900000,29.340000,29.400000,29.400000,4100
2016-05-16,31.030001,31.120001,30.230000,30.969999,30.969999,6800
2016-05-17,30.400000,31.110001,30.400000,30.549999,30.549999,8200
2016-05-18,30.389999,30.799999,30.389999,30.500000,30.500000,5100
2016-05-19,30.530001,30.559999,30.350000,30.559999,30.559999,2100
2016-05-20,31.250000,31.250000,30.920000,31.219999,31.219999,2800
2016-05-23,31.010000,31.100000,31.010000,31.100000,31.100000,2400
2016-05-24,30.690001,30.830000,30.000000,30.139999,30.139999,7300
2016-05-25,30.750000,31.100000,30.660000,30.879999,30.879999,4200
2016-05-26,30.520000,30.730000,30.510000,30.559999,30.559999,3700
2016-05-27,31.510000,31.510000,31.379999,31.500000,31.500000,3600
2016-05-31,31.820000,32.080002,31.780001,31.910000,31.910000,6100
2016-06-01,31.950001,31.959999,31.790001,31.830000,31.830000,5100
2016-06-02,31.510000,31.670000,31.450001,31.650000,31.650000,5700
2016-06-03,30.740000,31.200001,30.740000,31.100000,31.100000,6900
2016-06-06,30.969999,31.660000,30.969999,31.660000,31.660000,4100
2016-06-07,31.660000,31.740000,31.400000,31.400000,31.400000,5600
2016-06-08,31.650000,31.910000,31.600000,31.910000,31.910000,3400
2016-06-09,31.500000,31.760000,31.350000,31.370001,31.370001,4500
2016-06-10,31.900000,32.139999,31.690001,31.830000,31.830000,4500
2016-06-13,32.209999,32.450001,32.139999,32.450001,32.450001,1600
2016-06-14,32.660000,32.799999,32.189999,32.750000,32.750000,1700
2016-06-15,33.799999,33.799999,33.099998,33.660000,33.660000,5900
